IncidntNum,Descript,DayOfWeek,Date,Time
160319965,FOUND PROPERTY,Tuesday,04/19/2016 12:00:00 AM,08:04
160321302,FOUND PROPERTY,Tuesday,04/19/2016 12:00:00 AM,14:30
160265603,FOUND PROPERTY,Thursday,03/31/2016 12:00:00 AM,10:30
160161697,FOUND PROPERTY,Tuesday,02/23/2016 12:00:00 AM,22:15
160323029,FOUND PROPERTY,Wednesday,04/20/2016 12:00:00 AM,02:45
160947920,FOUND PROPERTY,Monday,11/21/2016 12:00:00 AM,11:00
160324613,FOUND PROPERTY,Wednesday,04/20/2016 12:00:00 AM,15:34
160326380,FOUND PROPERTY,Thursday,04/21/2016 12:00:00 AM,06:48
160326675,FOUND PROPERTY,Thursday,04/21/2016 12:00:00 AM,08:00
160267734,FOUND PROPERTY,Friday,04-01-2016 00:00,08:20
160164481,FOUND PROPERTY,Thursday,02/25/2016 12:00:00 AM,06:45
160377725,FOUND PROPERTY,Sunday,05-08-2016 00:00,15:45
160329867,FOUND PROPERTY,Friday,04/22/2016 12:00:00 AM,09:30
160330717,FOUND PROPERTY,Friday,04/22/2016 12:00:00 AM,09:09
160332882,FOUND PROPERTY,Saturday,04/23/2016 12:00:00 AM,07:04
160329594,FOUND PROPERTY,Friday,04/22/2016 12:00:00 AM,07:55
160951802,FOUND PROPERTY,Tuesday,11/22/2016 12:00:00 AM,14:00
160333642,FOUND PROPERTY,Saturday,04/23/2016 12:00:00 AM,12:51
160335187,FOUND PROPERTY,Saturday,04/23/2016 12:00:00 AM,23:00
160167441,FOUND PROPERTY,Friday,02/26/2016 12:00:00 AM,02:30
160271622,FOUND PROPERTY,Tuesday,03/29/2016 12:00:00 AM,17:55
160271638,FOUND PROPERTY,Saturday,04-02-2016 00:00,12:34
160337149,FOUND PROPERTY,Sunday,04/24/2016 12:00:00 AM,17:15
160168320,FOUND PROPERTY,Friday,02/26/2016 12:00:00 AM,09:00
160337923,FOUND PROPERTY,Saturday,04/23/2016 12:00:00 AM,01:00
160338103,FOUND PROPERTY,Saturday,04/23/2016 12:00:00 AM,15:00
160169130,FOUND PROPERTY,Friday,02/26/2016 12:00:00 AM,16:30
160341736,FOUND PROPERTY,Monday,02-01-2016 00:00,06:00
160341924,FOUND PROPERTY,Tuesday,04/26/2016 12:00:00 AM,14:00
160342427,FOUND PROPERTY,Monday,04/25/2016 12:00:00 AM,14:05
160274789,FOUND PROPERTY,Sunday,04-03-2016 00:00,15:01
160275680,FOUND PROPERTY,Sunday,04-03-2016 00:00,21:30
160346651,FOUND PROPERTY,Thursday,04/28/2016 12:00:00 AM,08:00
161025670,FOUND PROPERTY,Sunday,12/18/2016 12:00:00 AM,10:00
160349592,FOUND PROPERTY,Friday,04/29/2016 12:00:00 AM,05:27
160349837,FOUND PROPERTY,Friday,04/29/2016 12:00:00 AM,07:10
160351531,FOUND PROPERTY,Friday,04/29/2016 12:00:00 AM,14:30
161035657,FOUND PROPERTY,Wednesday,12/21/2016 12:00:00 AM,12:56
160351729,FOUND PROPERTY,Friday,04/22/2016 12:00:00 AM,17:30
160352777,FOUND PROPERTY,Saturday,04/30/2016 12:00:00 AM,07:36
160353242,FOUND PROPERTY,Saturday,04/30/2016 12:00:00 AM,12:18
160353418,FOUND PROPERTY,Saturday,04/30/2016 12:00:00 AM,12:00
160353565,FOUND PROPERTY,Saturday,04/30/2016 12:00:00 AM,14:22
160353571,FOUND PROPERTY,Saturday,04/30/2016 12:00:00 AM,13:30
160354234,FOUND PROPERTY,Saturday,04/30/2016 12:00:00 AM,15:30
160359256,FOUND PROPERTY,Monday,05-02-2016 00:00,12:00
160347671,FOUND PROPERTY,Monday,04-11-2016 00:00,08:00
160359381,FOUND PROPERTY,Monday,05-02-2016 00:00,14:13
160359472,FOUND PROPERTY,Saturday,04-02-2016 00:00,13:30
160359820,FOUND PROPERTY,Monday,05-02-2016 00:00,14:00
160360617,FOUND PROPERTY,Monday,05-02-2016 00:00,20:15
160360673,FOUND PROPERTY,Monday,05-02-2016 00:00,21:45
160361104,FOUND PROPERTY,Monday,05-02-2016 00:00,21:30
160361897,FOUND PROPERTY,Tuesday,05-03-2016 00:00,11:00
160362124,FOUND PROPERTY,Monday,05-02-2016 00:00,17:00
160362221,FOUND PROPERTY,Tuesday,05-03-2016 00:00,13:10
160364891,FOUND PROPERTY,Monday,05-02-2016 00:00,11:31
160365344,FOUND PROPERTY,Wednesday,05-04-2016 00:00,11:00
160181526,FOUND PROPERTY,Wednesday,03-02-2016 00:00,08:50
160367061,FOUND PROPERTY,Wednesday,05-04-2016 00:00,19:00
160367077,FOUND PROPERTY,Wednesday,05-04-2016 00:00,20:30
160367146,FOUND PROPERTY,Wednesday,05-04-2016 00:00,22:49
160367607,FOUND PROPERTY,Tuesday,05-03-2016 00:00,08:00
160353991,FOUND PROPERTY,Saturday,04/30/2016 12:00:00 AM,14:18
160183293,FOUND PROPERTY,Wednesday,03-02-2016 00:00,18:00
160287908,FOUND PROPERTY,Thursday,04-07-2016 00:00,20:55
160368564,FOUND PROPERTY,Thursday,05-05-2016 00:00,13:20
160003657,FOUND PROPERTY,Saturday,01-02-2016 00:00,09:00
160003908,FOUND PROPERTY,Saturday,01-02-2016 00:00,11:40
160003936,FOUND PROPERTY,Saturday,01-02-2016 00:00,11:10
160239501,FOUND PROPERTY,Tuesday,03/22/2016 12:00:00 AM,14:30
160250717,FOUND PROPERTY,Thursday,03/24/2016 12:00:00 AM,15:30
160253523,FOUND PROPERTY,Sunday,03/27/2016 12:00:00 AM,10:56
160253664,FOUND PROPERTY,Sunday,03/27/2016 12:00:00 AM,15:00
160187449,FOUND PROPERTY,Thursday,03-03-2016 00:00,07:00
160260954,FOUND PROPERTY,Tuesday,03/29/2016 12:00:00 AM,14:00
160278004,FOUND PROPERTY,Monday,04-04-2016 00:00,17:55
160278054,FOUND PROPERTY,Monday,04-04-2016 00:00,15:00
160285651,FOUND PROPERTY,Thursday,04-07-2016 00:00,04:08
160287851,FOUND PROPERTY,Thursday,04-07-2016 00:00,15:00
160191321,FOUND PROPERTY,Friday,03-04-2016 00:00,21:30
160298933,FOUND PROPERTY,Monday,04-11-2016 00:00,19:13
160301956,FOUND PROPERTY,Tuesday,04-12-2016 00:00,12:00
160302120,FOUND PROPERTY,Tuesday,04-12-2016 00:00,17:45
160302136,FOUND PROPERTY,Tuesday,04-12-2016 00:00,17:00
